names,codes
"Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue, Extranodal Marginal Zone B-Cell Lymphoma of Mucosa-Associated Lymphoid Tissue, Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma), Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], Immunocytoma, MALT Lymphoma, MALT-lymphoma, MALToma, Mucosa-Associated Lymphoid Tissue Lymphoma, Mucosal-associated lymphoid tissue lymphoma",C3898
"Extraocular Retinoblastoma, Metastatic Retinoblastoma",C7848
Extraocular Sebaceous Carcinoma,C43341
"Extraosseous Plasmacytoma, Extramedullary Plasmacytoma, Plasmacytoma, extramedullary",C4002
"Extrapulmonary Neuroendocrine Carcinoma, EP-PD-NEC, Extrapulmonary Poorly Differentiated Neuroendocrine Carcinoma",C191977
"Extrapulmonary Small Cell Neuroendocrine Carcinoma, ESCC, Extrapulmonary SCC, Extrapulmonary Small Cell Carcinoma, Small cell car. (extrapulmonary), Small cell carcinoma (extrapulmonary)",C156457
"Extrarenal Rhabdoid Tumor, Malignant Extrarenal Rhabdoid Neoplasm, Rhabdoid Tumor of Soft Tissue",C6586
"Extraskeletal Ewing Sarcoma, EES, Extra-Osseous Ewing's Sarcoma, Extraosseous Ewing Sarcoma, Extraosseous Ewing's Sarcoma, Extraosseous Ewing's Tumor, Extraskeletal Ewing's Sarcoma",C7135
"Extraskeletal Myxoid Chondrosarcoma, Adult Extraosseous Myxoid Chondrosarcoma, Adult Extraskeletal Myxoid Chondrosarcoma, Adult Myxoid Chondrosarcoma, EMC, Extraosseous Chondrosarcoma, Extraskeletal Chondrosarcoma, Myxoid Chondrosarcoma, Myxoid Extraosseous Chondrosarcoma, Myxoid Extraskeletal Chondrosarcoma, NR4A3-Rearranged Myxoid Sarcoma","C27502, C7924"
"Extraskeletal Osteosarcoma, Adult Extraosseous Osteosarcoma, Adult Extraskeletal Osteosarcoma, Extraosseous Osteosarcoma, Extraskeletal Osteogenic Sarcoma, OSTEOSARCOMA, EXTRASKELETAL, MALIGNANT, Soft Tissue Osteosarcoma","C8810, C7925"
"Extraventricular Neurocytoma, Extraventricular Neurocytoma (WHO Grade 2), Extraventricular Neurocytoma (WHO Grade II)",C92555
"Eye Cancer, Cancer of Eye, Cancer of the Eye, Eye Neoplasm, Malignant, Malignant Eye Neoplasm, Malignant Eye Tumor, Malignant Neoplasm of Eye, Malignant Neoplasm of the Eye, Malignant Ocular Neoplasm, Malignant Ocular Tumor, Malignant Tumor of Eye, Malignant Tumor of the Eye, Malignant eye cancer, NOS, Malignant neoplasm of unspecified site of unspecified eye",C4767
"Eyelid Sebaceous Gland Carcinoma, Eyelid SGC, Sebaceous Gland Carcinoma of the Eyelid",C134831
"FGFR Gene Amplification, FGF Receptor Gene Amplification, FGF Receptor Gene Family Amplification, FGFR Amplification, FGFR Family Amplification, FGFR Family Gene Amplification, Fibroblast Growth Factor Receptor Family Gene Amplification, Fibroblast Growth Factor Receptor Gene Amplification",C118378
"FGFR Gene Translocation, FGF Receptor Gene Family Translocation, FGF Receptor Gene Translocation, FGFR Family Gene Translocation, FGFR Family Translocation, FGFR Translocation, Fibroblast Growth Factor Receptor Gene Family Translocation, Fibroblast Growth Factor Receptor Gene Translocation",C118377
"FGFR2 Gene Amplification, BEK Gene Amplification, CD332 Gene Amplification, ECT1 Gene Amplification, FGFR-2 Gene Amplification, FGFR2 Amplification, FGFR2 Gene Activation, Fibroblast Growth Factor Receptor 2 Gene Activation, Fibroblast Growth Factor Receptor 2 Gene Amplification, K-SAM Gene Amplification, KGFR Gene Amplification",C36651
"FGFR2 Gene Fusion Positive, BEK Gene Fusion Positive, CD332 Gene Fusion Positive, ECT1 Gene Fusion Positive, FGFR-2 Gene Fusion Positive, FGFR2 Fusion, FGFR2 Fusion Gene, Fibroblast Growth Factor Receptor 2 Gene Fusion Positive, K-SAM Gene Fusion Positive, KGFR Gene Fusion Positive, Keratinocyte Growth Factor Receptor Gene Fusion Positive",C153237
"FIGO Grade 1 Endometrial Endometrioid Adenocarcinoma, Grade 1 Endometrial Endometrioid Adenocarcinoma, Grade 1 Endometrial Endometrioid Carcinoma",C40146
FIGO Grade 1 Endometrial Mucinous Adenocarcinoma,C40149
"FIGO Grade 2 Endometrial Endometrioid Adenocarcinoma, Grade 2 Endometrial Endometrioid Adenocarcinoma, Grade 2 Endometrial Endometrioid Carcinoma",C40147
FIGO Grade 3 Endometrial Mucinous Adenocarcinoma,C40151
"FIGO Stage I Gestational Trophoblastic Tumor, FIGO Stage I GTT",C6391
"FIGO Stage II Gestational Trophoblastic Tumor, FIGO Stage II GTT",C6396
"FIGO Stage III Gestational Trophoblastic Tumor, FIGO Stage III GTT",C6400
"FIGO Stage III Ovarian Cancer, FIGO Stage III Ovarian Cancer 2014, FIGO Stage III Ovarian Carcinoma 2014",C128086
"FIGO Stage IIIA Ovarian Cancer, FIGO Stage IIIA Ovarian Cancer 2014, FIGO Stage IIIA Ovarian Carcinoma 2014",C128087
"FIGO Stage IIIA1 Ovarian Cancer, FIGO Stage IIIA1 Ovarian Carcinoma",C128088
"FIGO Stage IIIA1(i) Ovarian Cancer, FIGO Stage IIIA1(i) Ovarian Carcinoma",C128089
"FIGO Stage IIIA1(ii) Ovarian Cancer, FIGO Stage IIIA1(ii) Ovarian Carcinoma",C128090
"FIGO Stage IIIA2 Ovarian Cancer, FIGO Stage IIIA2 Ovarian Carcinoma",C128091
"FIGO Stage IIIB Ovarian Cancer, FIGO Stage IIIB Ovarian Cancer 2014, FIGO Stage IIIB Ovarian Carcinoma 2014",C128092
"FIGO Stage IIIC Ovarian Cancer, FIGO Stage IIIC Ovarian Cancer 2014, FIGO Stage IIIC Ovarian Carcinoma 2014",C128093
"FIGO Stage IIIC1 Uterine Cancer, Uterine Corpus Carcinoma and Carcinosarcoma FIGO Stage IIIC1, Uterine Corpus Carcinoma and Carcinosarcoma pN1 TNM Finding v8, pN1 (FIGO IIIC1)",C139780
"FIGO Stage IIIC2 Uterine Cancer, Uterine Corpus Carcinoma and Carcinosarcoma FIGO Stage IIIC2, Uterine Corpus Carcinoma and Carcinosarcoma pN2 TNM Finding v8, pN2 (FIGO IIIC2)",C139783
"FIGO Stage IV Ovarian Cancer, FIGO Stage IV Ovarian Cancer 2014, FIGO Stage IV Ovarian Carcinoma 2014",C206216
"FIGO Stage IVA Ovarian Cancer, FIGO Stage IVA Ovarian Cancer 2014, FIGO Stage IVA Ovarian Carcinoma 2014, Stage IVA Ovarian Epithelial Cancer",C128094
"FIGO Stage IVB Ovarian Cancer, FIGO Stage IVB Ovarian Cancer 2014, FIGO Stage IVB Ovarian Carcinoma 2014, Stage IVB Ovarian Epithelial Cancer",C128095
"FLT3 Gene Mutation, CD135 Gene Mutation, FLK2 Gene Mutation, FLT3, FLT3 Gene Mutant, FLT3 Mutation, FMS-Related Tyrosine Kinase 3 Gene Mutation",C128919
"FLT3 Internal Tandem Duplication, Activating FLT3-ITD Gene Mutation, Activating FLT3-ITD Mutation, FLT3 ITD, FLT3-ITD, FLT3-ITD Activating Mutation, FLT3-ITD Mutation, FLT3/ITD Mutation",C67494
"FLT3 Internal Tandem Duplication Positive, FLT3-ITD Mutation Positive, FLT3-ITD Positive, FLT3/ITD Mutation Positive, FLT3/ITD Positive",C150626
"FLT3 NP_004110.2:p.D835X, CD135 Antigen Asp835Xxx, CD135 Antigen D835X, D835, D835X, FLT3 Asp835 Mutation, FLT3 Asp835Xxx, FLT3 D835 Mutation, FLT3 D835X, FLT3 NP_004110.2:p.Asp835Xxx, FLT3 p.Asp835Xxx, FLT3 p.D835X, FLT3-D835, FLT3-TKD/D835 Mutation, Fetal Liver Kinase-2 Asp835Xxx, Fetal Liver Kinase-2 D835X, Flt-3 Receptor Asp835Xxx, Flt-3 Receptor D835X, Fms-Related Tyrosine Kinase 3 Asp835Xxx, Fms-Related Tyrosine Kinase 3 D835X, NP_004110.2:p.Asp835Xxx, NP_004110.2:p.D835X, Receptor-Type Tyrosine-Protein Kinase FLT3 Asp835Xxx, Receptor-Type Tyrosine-Protein Kinase FLT3 D835X, Stem Cell Tyrosine Kinase 1 Asp835Xxx, Stem Cell Tyrosine Kinase 1 D835X",C128921
"FLT3 NP_004110.2:p.I836X, CD135 Antigen I836X, CD135 Antigen Ile836Xxx, FLT3 I836 Mutation, FLT3 NP_004110.2:p.Ile836Xxx, FLT3 p.I836X, FLT3 p.Ile836Xxx, FLT3-TKD/I836 Mutation, Fetal Liver Kinase-2 I836X, Fetal Liver Kinase-2 Ile836Xxx, Flt-3 Receptor I836X, Flt-3 Receptor Ile836Xxx, Fms-Related Tyrosine Kinase 3 I836X, Fms-Related Tyrosine Kinase 3 Ile836Xxx, I836, I836X, NP_004110.2:p.I836X, NP_004110.2:p.Ile836Xxx, Receptor-Type Tyrosine-Protein Kinase FLT3 I836X, Receptor-Type Tyrosine-Protein Kinase FLT3 Ile836Xxx, Stem Cell Tyrosine Kinase 1 I836X, Stem Cell Tyrosine Kinase 1 Ile836Xxx",C165490
"Facial Nerve Paralysis, Bell's Palsy, Cranial Nerve VII Palsy, Cranial nerve palsy VII, Facial Nerve Palsy, Facial Palsy, Facial Paralysis",C26769
"Factor I Deficiency, Fibrinogen Deficiency, Hypofibrinogenemia",C26692
Factor II Deficiency,C131737
Factor V Deficiency,C131738
"Factor V Leiden, Factor V Leiden Mutation",C98573
Factor VII Deficiency,C131631
Factor X Deficiency,C131632
Factor XI Deficiency,C131739
Factor XIII Deficiency,C131633
"Fallopian Tube Adenocarcinoma, Adenocarcinoma of Fallopian Tube, Adenocarcinoma of the Fallopian Tube",C6265
"Fallopian Tube Cancer, Cancer of Fallopian Tube, Cancer of the Fallopian Tube, Carcinoma of Fallopian Tube, Carcinoma of the Fallopian Tube, Fallopian Tube Carcinoma",C3867
"Fallopian Tube Carcinosarcoma, Fallopian Tube Malignant Mixed Mesodermal (Mullerian) Tumor",C40124
"Fallopian Tube Clear Cell Adenocarcinoma, Clear Cell Adenocarcinoma of Fallopian Tube, Clear Cell Adenocarcinoma of the Fallopian Tube, Clear Cell Carcinoma of Fallopian Tube, Clear Cell Carcinoma of the Fallopian Tube, Fallopian Tube Clear Cell Carcinoma",C6280
"Fallopian Tube Endometrioid Adenocarcinoma, Endometrioid Adenocarcinoma of Fallopian Tube, Endometrioid Adenocarcinoma of the Fallopian Tube, Endometrioid Carcinoma of Fallopian Tube, Endometrioid Carcinoma of the Fallopian Tube, Fallopian Tube Endometrioid Carcinoma",C6279
"Fallopian Tube Endometrioid Tumor, Fallopian Tube Endometrioid Neoplasm",C40111
Fallopian Tube Mucinous Adenocarcinoma,C40103
"Fallopian Tube Mucinous Neoplasm, Fallopian Tube Mucinous Tumor",C40109
"Fallopian Tube Neoplasm, Fallopian Tube Tumor, Neoplasm of Fallopian Tube, Neoplasm of the Fallopian Tube, Tumor of Fallopian Tube, Tumor of the Fallopian Tube",C3032
Fallopian Tube Serous Adenocarcinoma,C40099
"Fallopian Tube Serous Neoplasm, Fallopian Tube Serous Tumor",C40102
"Fallopian Tube Squamous Cell Cancer, Fallopian Tube Squamous Cell Carcinoma, Squamous Cell Carcinoma of Fallopian Tube, Squamous Cell Carcinoma of the Fallopian Tube",C6282
"Fallopian Tube Transitional Cell Cancer, Fallopian Tube Transitional Cell Carcinoma",C40104
"Familial Adenomatous Polyposis, APC - Adenomatous Polyposis Coli, Adenomatous Polyposis Coli, FAP, Familial Adenomatous Polyposis 1, Familial Adenomatous Polyposis Coli, Familial Adenomatous Polyposis Syndrome, Familial polyposis coli, Hereditary Adenomatous Polyposis Coli, Polyposis Coli, familial polyposis",C3339
"Familial Amyloid Neuropathy, Amyloid Neuropathies, Familial, Familial Amyloid Polyneuropathy",C84554
"Familial Neuroblastoma, Hereditary Neuroblastoma",C115225
"Familial Nonmedullary Thyroid Gland Carcinoma, FNMTC, Familial Non-medullary Thyroid Gland Carcinoma, Hereditary Nonmedullary Thyroid Gland Carcinoma, NSFNMTC, Non-Syndromic Familial Thyroid Cancer",C118829
"Familial Platelet Disorder with Associated Myeloid Malignancy, FPD/AML, FPDMM, Familial Platelet Disorder and AML Syndrome",C162696
"Familial Testicular Germ Cell Tumor, FTGCT",C115211
Familial Waldenstrom Macroglobulinemia,C115212
"Fanconi Anemia, Fanconi's Anemia, Pancytopenia, Congenital, Panmyelopathy, Fanconi, Primary Erythroid Hypoplasia",C62505
"Fanconi Anemia Complementation Group Gene Mutation, BRCA2 and FANC gene mutations, FA Complementation Group Gene Mutation, FANC Family Gene Mutation, FANC Gene Mutation, Fanconi Anemia Complementation Family Gene Mutation, Fanconi Anemia Group Gene Mutation",C159204
"Fanconi Anemia, Complementation Group A",C125702
"Fasciitis, Fascitis",C50559
"Fatigue, Fatigue (lassitude), Lack of Energy",C3036
Fechtner Syndrome,C131642
"Female Breast Cancer, Breast Carcinoma, Female, Carcinoma of Female Breast, Carcinoma of the Female Breast, Female Breast Carcinoma, Mammary Carcinoma of Female Breast, Mammary Carcinoma of the Female Breast",C2918
"Female Genital Tract Mucosal Melanoma, Mucosal Melanoma of the Female Genital Tract",C178437
Female Reproductive System Adnexal Neoplasm,C212117
Female Reproductive System Carcinoma,C181162
"Female Reproductive System Carcinosarcoma, Carcinosarcoma, embryonal, MMMT, MULLERIAN TUMOR, MIXED, MALIGNANT, Malignant Mixed Mesodermal (Mullerian) Tumor, Malignant Mixed Mesodermal Tumor, Malignant Mixed Mullerian Tumor",C8975
"Female Reproductive System Disorder, Female Reproductive System Disease, Gynecological Disorder",C27020
"Female Reproductive System Neoplasm, Female Reproductive System Tumor, Gynecologic Neoplasm, Gynecologic Tumor, Neoplasm of Female Reproductive System, Neoplasm of the Female Reproductive System, Tumor of Female Reproductive System, Tumor of the Female Reproductive System",C3053
"Fibrillary Astrocytoma, Fibrous astrocytoma",C4322
"Fibroblastic Osteosarcoma, FIBROSARCOMA, OSTEOGENIC, MALIGNANT, Fibroblastic Osteogenic Sarcoma, Fibrosarcomatous Osteogenic Sarcoma, Fibrosarcomatous Osteosarcoma, Osteogenic Fibrosarcoma",C4020
"Fibroblastic Reticular Cell Tumor, Fibroblastic Dendritic Cell Tumor, Fibroblastic Reticular Cell Sarcoma",C81758
"Fibrofolliculoma, Follicular fibroma",C43331
"Fibrohistiocytic Neoplasm, Fibrohistiocytic Tumor",C8402
"Fibrolamellar Cancer, FLC, Fibrolamellar Carcinoma, Fibrolamellar Carcinoma of Liver Cells, Fibrolamellar Carcinoma of the Liver Cells, Fibrolamellar Hepatocellular Carcinoma, Hepatocellular Fibrolamellar Carcinoma, Hepatocellular carcinoma, fibrolamellar, Liver Cell Fibrolamellar Carcinoma, Oncocytic Hepatocellular Tumor, Polygonal Cell Type Hepatocellular Carcinoma with Fibrous Stroma",C4131
Fibromatosis,C3042
"Fibromyalgia, Fibromyalgia Syndrome",C87497
"Fibromyxoid Tumor, FIBROMYXOMA, BENIGN, Fibromyxoid Neoplasm, Fibromyxoma",C66760
"Fibrosarcoma, Adult Fibrosarcoma, FIBROSARCOMA, MALIGNANT, Fibrosarcoma (excluding infantile fibrosarcoma), Fibrosarcoma - not infantile, Fibrosarcoma, NOS, Malignant Fibromatous Neoplasm","C3043, C7809"
"Fibrosarcomatous Dermatofibrosarcoma Protuberans, Fibrosarcomatous DFSP",C27547
"Floor of Mouth Basaloid Squamous Cell Carcinoma, Floor of Mouth BSCC",C129873
"Floor of Mouth Squamous Cell Carcinoma, Floor of Mouth SCC, SCC of Floor of Mouth, SCC of the Floor of Mouth, Squamous Cell Carcinoma of Floor of Mouth, Squamous Cell Carcinoma of the Floor of Mouth",C4041
"Florid Follicular Hyperplasia Post-Transplant Lymphoproliferative Disorder, Florid Follicular Hyperplasia PTLD",C139028
"Focal Nodular Hyperplasia of the Liver, FNH, Focal Nodular Hyperplasia of Liver",C4916
"Folate Receptor Family Positive, Folate Binding Protein Positive, Folate Receptor Positive, Folate-Binding Protein Positive",C153242
"Follicular Dendritic Cell Sarcoma, FDCS, Follicular Dendritic Cell Sarcoma/Tumor, Follicular dendritic cell tumor",C9281
"Follicular Helper T-Cell Lymphoma, Nodal Follicular Helper T-Cell Lymphoma, Nodal Peripheral T-Cell Lymphoma of T Follicular Helper Cell Origin, Nodal Peripheral T-Cell Lymphoma of TFH Cell Origin, TFH Lymphoma",C139005
"Follicular Helper T-Cell Lymphoma, Follicular-Type, FTCL, Follicular T-Cell Lymphoma, Follicular Variant Peripheral T-Cell Lymphoma",C80375
"Follicular Helper T-Cell Lymphoma, Not Otherwise Specified, Follicular Helper T-Cell Lymphoma, NOS",C139011
"Follicular Lymphoma, Follicle Center Lymphoma, Follicular Centre Cell Lymphoma, Follicular Non-Hodgkin Lymphoma, Follicular Non-Hodgkin's Lymphoma, Follicular lymphoma, unspecified, unspecified site, LYMPHOMA, FOLLICULAR, MALIGNANT, Lymphoma, Follicular Centre Cell",C3209
"Follicular Lymphoma with Predominantly Diffuse Growth Pattern, Diffuse Follicle Centre Lymphoma, Diffuse Follicular Lymphoma, Diffuse follicle center lymphoma, unspecified site, Follicle Centre Lymphoma Diffuse, dFL",C7264
"Follicular Lymphoma with Unusual Cytological Features, uFL",C200684
"Follicular Variant Thyroid Gland Papillary Carcinoma, FVPTC, Papillary Thyroid Carcinoma, Follicular Variant, Papillary carcinoma, follicular variant",C126594
"Folliculotropic Mycosis Fungoides, Follicular Mycosis Fungoides, Mycosis Fungoides-Associated Follicular Mucinosis",C35685
"Foregut Carcinoid Tumor, Foregut Neuroendocrine Tumor",C6421
"Former Smoker, Prior Smoker",C67148
Fucosidosis,C61274
"Fumarate Hydratase-Deficient Renal Cell Carcinoma, FH-Deficient RCC, FH-Deficient Renal Cell Carcinoma, Fumarate Hydratase Deficient Renal Cell Carcinoma",C164156
"Functioning Lung Neuroendocrine Tumor, Functioning Lung Carcinoid Tumor",C176705
"Functioning Pancreatic Neuroendocrine Tumor, Functional Neuroendocrine Tumor, Functional Pancreatic NET, Functional Pancreatic Neuroendocrine Tumor, Functioning Pancreatic Endocrine Tumor, Functioning Pancreatic NET, Functioning Well Differentiated Pancreatic Endocrine Neoplasm, Functioning Well Differentiated Pancreatic Endocrine Tumor, Syndromic Pancreatic NET, Syndromic Pancreatic Neuroendocrine Tumor",C45840
Fundic Gland Polyp,C8961
"Fungal Infection, Mycosis, Mycotic disease",C3245
"Fusion-Negative Alveolar Rhabdomyosarcoma, Fusion Gene Negative Alveolar Rhabdomyosarcoma",C123732
"Fusion-Positive Alveolar Rhabdomyosarcoma, Fusion Gene Positive Alveolar Rhabdomyosarcoma",C123731
"GATA2 Deficiency, GATA2 deficiency/MonoMac syndrome, Immunodeficiency 21, MonoMAC Syndrome, Monocytopenia and Mycobacterial Infection Syndrome",C126349
"GATA3 Gene Mutation, GATA Binding Protein 3 Gene Mutation",C150628
"GNA11 Gene Mutation, G Protein Subunit Alpha 11 Gene Mutation, GA11 Gene Mutation, GNA-11 Gene Mutation, Guanine Nucleotide Binding Protein (G Protein), Alpha 11 Gene Mutation, Guanine Nucleotide-Binding Protein, Alpha-11 Gene Mutation, Positive",C89714
"GNAQ Gene Mutation, CMC1 Gene Mutation, G Protein Subunit Alpha q Gene Mutation, G-ALPHA-q Gene Mutation, GAQ Gene Mutation, Guanine Nucleotide Binding Protein (G Protein), Q Polypeptide Gene Mutation, Positive, SWS Gene Mutation",C89713
"Gallbladder Adenocarcinoma, Adenocarcinoma of Gallbladder, Adenocarcinoma of the Gallbladder",C9166
"Gallbladder Adenocarcinoma, Biliary Type",C96915
"Gallbladder Cancer, Cancer of Gallbladder, Cancer of the Gallbladder, Carcinoma of Gallbladder, Carcinoma of the Gallbladder, Gall bladder carcinoma (adeno), Gall bladder carcinoma (adenocarcinoma), Gallbladder Carcinoma",C3844
"Gallbladder Melanoma, Gallbladder Malignant Melanoma, Malignant Melanoma of Gallbladder, Malignant Melanoma of the Gallbladder, Melanoma of Gallbladder, Melanoma of the Gallbladder",C5735
"Gallbladder Neoplasm, Gallbladder Tumor, Neoplasm of Gallbladder, Neoplasm of the Gallbladder, Tumor of Gallbladder, Tumor of the Gallbladder",C3048
Gangliocytoma,C6934
"Ganglioglioma, Childhood Ganglioglioma, Ganglioglioma, NOS","C3788, C27362"
"Ganglioneuroblastoma, GANGLIONEUROBLASTOMA, MALIGNANT",C3790
"Ganglioneuroblastoma, Intermixed, GNB-i, Ganglioneuroblastoma, Intermixed (Schwannian Stroma-Rich)",C42057
"Ganglioneuroblastoma, Nodular, GNBn",C42058
"Ganglioneuroma, GANGLIONEUROMA, BENIGN, Ganglioneuroma (Schwannian Stroma-Dominant), Neural Crest Tumor, Benign",C3049
"Gardner Syndrome, Gardner's Syndrome",C6728
"Gastric (Stomach) Adenocarcinoma, Adenocarcinoma, Adenocarcinoma - stomach, Adenocarcinoma of Stomach, Adenocarcinoma of the Stomach, Gastric Adenocarcinoma, Gastric Adenocarcinoma, NOS, STAD, Stomach Adenocarcinoma",C4004
"Gastric (Stomach) Cancer, Cancer of Stomach, Cancer of the Stomach, Carcinoma of Stomach, Carcinoma of the Stomach, Gastric Cancer, Gastric Carcinoma, Gastric cancer, NOS, Stomach Cancer, Stomach Carcinoma",C4911
"Gastric (Stomach) Gastrointestinal Stromal Tumor (GIST), Digestive Stromal Neoplasm of Stomach, Digestive Stromal Neoplasm of the Stomach, Digestive Stromal Tumor of Stomach, Digestive Stromal Tumor of the Stomach, GIST of Stomach, GIST of the Stomach, Gastric Digestive Stromal Neoplasm, Gastric Digestive Stromal Tumor, Gastric GIST, Gastric Gastrointestinal Stromal Tumor, Gastrointestinal Stromal Neoplasm of Stomach, Gastrointestinal Stromal Neoplasm of the Stomach, Gastrointestinal Stromal Tumor of Stomach, Gastrointestinal Stromal Tumor of the Stomach, Stomach Digestive Stromal Neoplasm, Stomach Digestive Stromal Tumor",C5806
"Gastric (Stomach) Neuroendocrine Cancer, Gastric NEC, Gastric Neuroendocrine Carcinoma",C95884
"Gastric (Stomach) Squamous Cell Cancer, Gastric Squamous Cell Carcinoma, Squamous Cell Carcinoma of Stomach, Squamous Cell Carcinoma of the Stomach",C5475
"Gastric Adenocarcinoma and Proximal Polyposis of the Stomach, GAPPS",C172989
"Gastric Cardia Adenocarcinoma, Adenocarcinoma of Cardia of Stomach, Adenocarcinoma of Gastric Cardia, Adenocarcinoma of the Cardia of the Stomach, Adenocarcinoma of the Gastric Cardia",C5247
"Gastric Diffuse Adenocarcinoma, Adenocarcinoma of Linitis Plastica Type, Adenocarcinoma of the Linitis Plastica Type, Diffuse, Diffuse Adenocarcinoma of Stomach, Diffuse Adenocarcinoma of the Stomach, Diffuse Gastric Adenocarcinoma, Diffuse Stomach Adenocarcinoma",C9159
"Gastric Intestinal-Type Adenocarcinoma, Gastric Intestinal Type Adenocarcinoma, Intestinal, Intestinal Adenocarcinoma of Stomach, Intestinal Adenocarcinoma of the Stomach, Intestinal Gastric Adenocarcinoma, Intestinal Stomach Adenocarcinoma",C9157
"Gastric Intramucosal Adenocarcinoma, Gastric Intramucosal Carcinoma, Gastric Intramucosal Invasive Neoplasia, Gastric Intramucosal Invasive Neoplasia/ Intramucosal Carcinoma",C95763
"Gastric Kaposi Sarcoma, Gastric Kaposi's Sarcoma",C5529
"Gastric Lymphoma, Lymphoma of Stomach, Lymphoma of the Stomach, Primary Gastric Lymphoma",C4636
"Gastric Mantle Cell Lymphoma, Mantle Cell Lymphoma of Stomach, Mantle Cell Lymphoma of the Stomach",C27440
"Gastric Mixed Adenocarcinoma, Mixed",C67526
"Gastric Mucosa-Associated Lymphoid Tissue Lymphoma, Gastric MALT Lymphoma, Gastric MALToma, MALT Lymphoma of Stomach, MALT Lymphoma of the Stomach, MALToma of Stomach, MALToma of the Stomach, Primary Gastric B-Cell MALT Lymphoma, Primary Gastric MALT Lymphoma, Primary MALT Lymphoma of Stomach, Primary MALT Lymphoma of the Stomach",C5266
"Gastric Neoplasm, Gastric Tumor, Neoplasm of Stomach, Neoplasm of the Stomach, Stomach Neoplasm, Stomach Tumor, Tumor of Stomach, Tumor of the Stomach",C3387
"Gastric Neuroendocrine Neoplasm, Neuroendocrine Neoplasm of Stomach, Neuroendocrine Neoplasm of the Stomach, Stomach Neuroendocrine Neoplasm",C5696
"Gastric Neuroendocrine Tumor, Gastric NET, Gastric Well Differentiated Neuroendocrine Neoplasm, Gastric Well-Differentiated Neuroendocrine Neoplasm",C95871
"Gastric Neuroendocrine Tumor G1, Gastric ECL Cell NET, Gastric ECL Cell NET G1, Gastric ECL Cell, Histamine-Producing NET, Gastric Enterochromaffin-Like Cell Neuroendocrine Tumor, Gastric NET G1",C4635
"Gastric Neuroendocrine Tumor G2, Gastric NET G2",C95880
"Gastric Polyp, Gastric Polyp(s), Gastric Polyposa, Gastric Polyposis, Polyps of Stomach, Polyps of the Stomach",C3954
"Gastric Precancerous Condition, Gastric Premalignant Condition",C7424
"Gastrin-Producing Neuroendocrine Tumor, G Cell Tumor, G-Cell Gastrin Producing Tumor, G-Cell Tumor, Gastrin Secreting Tumor, Gastrin-Producing NET, Gastrinoma",C3050
Gastritis,C26780
"Gastroesophageal Junction Adenocarcinoma, Adenocarcinoma - GEJ, Adenocarcinoma of Cardioesophageal Junction, Adenocarcinoma of Gastroesophageal Junction, Adenocarcinoma of the Cardioesophageal Junction, Adenocarcinoma of the EG Junction, Adenocarcinoma of the Esophagogastric Junction, Adenocarcinoma of the GE Junction, Adenocarcinoma of the Gastroesophageal Junction",C9296
Gastroesophageal Junction Adenocarcinoma by AJCC v8 Stage,C133548
Gastroesophageal Junction Carcinoma,C203675
"Gastroesophageal Reflux Disease, GERD, Reflux Disease",C26781
"Gastrointestinal Mucositis, Mucositis",C3853
"Gastrointestinal Neuroendocrine Tumor G1, Carcinoid Tumor of Digestive System, Carcinoid Tumor of GI System, Carcinoid Tumor of Gastrointestinal System, Carcinoid Tumor of the Digestive System, Carcinoid Tumor of the GI System, Carcinoid Tumor of the Gastrointestinal System, Digestive Carcinoid Tumor, Digestive System Carcinoid Tumor, Digestive System Neuroendocrine Tumor G1, GCT, GI Carcinoid Tumor, Gastrointestinal Carcinoid Tumor, Gastrointestinal NET G1, Gastrointestinal System Carcinoid Tumor",C7709
"Gastrointestinal Polyp, GI Polyp, Gastrointestinal Tract Polyp",C35516
"Gastrointestinal Stromal Tumor (GIST), GIST, GIST, NOS, GISTs, Gastrointestinal Stromal Neoplasm, Gastrointestinal Stromal Tumor, Gastrointestinal stromal tumor, NOS, Gastrointestinal stromal tumor, unspecified site",C3868
"Gastrointestinal Thrombotic Microangiopathy, Gastrointestinal TMA",C201567
Gastrointestinal Tract Acute Graft Versus Host Disease,C168539
"Gaucher Disease, Glucosylceramide Beta-Glucosidase Deficiency",C61268
"Gemistocytic Astrocytoma, Gemistocytoma",C4321
"Generalized Anxiety Disorder, GAD",C92622
"Generalized Cutaneous Reticulohistiocytosis, GCR",C168993
"Genetic Disorder, Genetic Condition, Genetic Syndrome, Hereditary Disease, Hereditary Diseases, Inherited Disease, Molecular Disease",C3101
"Genital Human Papillomavirus Infection, Genital Human Papilloma Virus Infection",C27553
"Genitourinary Syndrome of Menopause, GSM",C178470
Genitourinary System Carcinoma,C164141
"Genitourinary System Mucosal Melanoma, Mucosal Melanoma of the Genitourinary System",C178443
Genitourinary System Neoplasm,C156482
Genodermatosis,C156032
